Year,Month,DAY,TEM,DPT,WIS,HUM,SLP,TRAN,ARAN,RAN
1986,4,30,27.8,21.9,13,76.53,1008.6,145,4.83,LTR
1986,5,31,28.5,23.4,8.5,77,1005.6,177,5.71,LTR
1986,6,30,28.5,24.2,11.7,83.23,1000.8,820,27.33,MHR
1986,7,31,27.9,24.6,12.1,84.13,1003.1,894,28.84,MHR
1986,8,31,28.4,25,8.3,83.84,1003,311,10.03,MHR
1986,9,30,27.8,23.7,7.4,83.7,1007.4,139,4.63,LTR
1986,10,31,27.2,23.2,6.1,81.16,1011.2,200,6.45,LTR
1986,11,30,24.6,18.9,6.1,76.87,1013.1,122,4.07,LTR
1986,12,31,21.4,15.5,6.4,73.1,1016.1,0,0,NRT
1987,1,31,20.2,14.2,5.9,72.39,1016.2,3,0.1,NRT
1987,2,28,22.4,14.3,6.5,71.25,1015.2,20,0.71,NRT
1987,3,31,25.4,19.8,7.3,74.45,1011.5,80,2.58,LTR
1987,4,30,27.3,22.4,12.1,79.73,1009.5,287,9.57,LTR
1987,5,31,29.2,24.2,9.8,76.84,1008.2,63,2.03,LTR
1987,6,30,28.8,23.9,12.2,81.04,1002.7,348,11.6,MHR
1987,7,31,27.3,25.1,12.4,88.81,1002.6,1206,38.9,MHR
1987,8,31,27.9,24.9,10.2,84.55,1003.6,673,21.71,MHR
1987,9,30,28.2,24.1,9.6,83.8,1007,429,14.3,MHR
1987,10,31,27.6,23.4,5.4,79.94,1010.8,35,1.13,LTR
1987,11,30,25.6,20.1,6,77.23,1011.5,49,1.63,LTR
1987,12,31,21.6,16.2,5.1,74.94,1015.7,17,0.55,NRT
1988,1,31,20.3,14.1,6.1,71.45,1014.4,0,0,NRT
1988,2,29,22.8,15.4,6.2,71.59,1012.5,11,0.38,NRT
1988,3,31,26.1,20,7,72.35,1009.5,35,1.13,LTR
1988,4,30,28.1,22,7.9,75.03,1009,182,6.07,LTR
1988,5,31,28.6,24.3,10.6,79.1,1004.7,433,13.97,MHR
1988,6,30,27.8,23.7,9.6,83.67,1002.4,643,21.43,MHR
1988,7,31,28.1,24.7,10.7,84.26,1003.6,632,20.39,MHR
1988,8,31,28,24.8,10.4,84.16,1004.1,413,13.32,MHR
1988,9,30,28.4,23.8,6.7,82.2,1006,329,10.97,MHR
1988,10,31,27.4,23.7,6.7,82.35,1007.7,342,11.03,MHR
1988,11,30,25.5,20,5.6,77.33,1012.3,72,2.4,LTR
1988,12,31,22.4,17.4,5.2,76.23,1015.4,1,0.03,NRT
1989,1,31,18.6,11.2,5.7,67.32,1013.8,0,0,NRT
1989,2,28,22.4,14.3,6.5,71.11,1012.9,2,0.07,NRT
1989,3,31,25.8,18.2,9,68.35,1010,0,0,NRT
1989,4,30,28,21.9,13.4,75.73,1007.5,220,7.33,LTR
1989,5,31,29.6,24.3,9.9,75.81,1004.6,82,2.65,LTR
1989,6,30,28.5,23.6,11.1,80.5,1003.2,277,9.23,LTR
1989,7,31,27.9,24.7,10.4,84.39,1003.5,1173,37.84,MHR
1989,8,31,28.3,24.2,8.6,80.77,1003.5,66,2.13,LTR
